Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
12,19,3,2,1.0
12,19,2,3,1.0
12,19,1,1,1.0
12,19,0,0,1.0
12,20,2,1,1.0
12,20,0,2,1.0
12,20,1,0,0.9073916122792455
12,20,3,3,0.5762275961603007
12,21,3,2,1.0
12,21,2,0,1.0
12,21,0,3,1.0
12,21,1,1,1.0
12,22,2,1,1.0
12,22,0,0,1.0
12,22,1,2,0.891863770752786
12,22,3,3,0.5884306795957467
12,23,2,0,1.0
12,23,1,1,1.0
12,23,0,3,1.0
12,23,3,2,0.6596152244524027
12,24,2,2,1.0
12,24,1,0,1.0
12,24,0,1,1.0
12,24,3,3,0.9417772788307028
12,25,2,2,1.0
12,25,1,1,1.0
12,25,3,0,0.2725804719747673
